SAS_NAME,SESTAT_NAME,DESCRIPTION,SOURCE,QUESTION,DOMAIN,SAS_FMT
D4AYR,R_ED_4TH_HD_DEGREE_AWARD_ACADEMIC_YR,Academic year of award for fourth highest degree,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with four or more degrees,NUMERIC_FOUR
D4CAR,R_ED_4TH_DEGREE_REAS_BEGIN_CAREER,Reason for obtaining this degree: further education before career,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 4th highest degree? (Response to: 'To gain further education before beginning a career'),All respondents with four or more degrees,$YES_NO_CODES
D4CHG,R_ED_4TH_DEGREE_REAS_CHG_FLD,Reason for obtaining this degree: change academic/occupational field,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 4th highest degree? (Response to: 'To change your academic or occupational field'),All respondents with four or more degrees,$YES_NO_CODES
D4CRN21C,R_ED_4TH_HD_SCHOOL_CARNEGIE_CLS_2021,Carnegie classification  for school awarding fourth highest degree - 2021 Carnegie code,SYSTEM,Derived within SESTAT from reported information,All respondents with at least four degrees,$CARN21C
D4DG,R_ED_4TH_HD_DEGREE_TYPE,Fourth highest degree type,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,What type of degree did you earn?,All respondents with four or more degrees,$DEGREE_CODES
D4DGRUS,R_ED_4TH_HD_SCHOOL_REGION_US_NONUS,Location of school awarding fourth highest degree (U.S./Non-U.S.),CG0: SYSTEM/CGN: RECODE/CGNR: SYSTEM,Derived within SESTAT from reported information,All respondents with four or more degrees,$US_NONUS_CODES
D4EM,R_ED_4TH_DEGREE_REAS_EMPR_REQ,Reason for obtaining this degree: expected/required by employer,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 4th highest degree? (Response to: 'Required or expected by employer'),All respondents with four or more degrees,$YES_NO_CODES
D4GRD,R_ED_4TH_DEGREE_REAS_PREP_GRAD_SCHL,Reason for obtaining this degree: prepare for graduate school/further education,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 4th highest degree? (Response to: 'To prepare for graduate school or further education'),All respondents with four or more degrees,$YES_NO_CODES
D4INCD,R_ED_4TH_HD_SCHOOL_CODE,Institution code for school awarding fourth highest degree,RECODE,From which academic institution did you receive your 4th highest degree (institution code)?,All respondents with four or more degrees,N/A
D4INT,R_ED_4TH_DEGREE_REAS_PERSONL,Reason for obtaining this degree: leisure/personal interest,CG0: SYSTEM/CGN: SYSTEM/CGNR: SYSTEM,For which of the following reasons did you obtain your 4th highest degree? (Response to: 'For leisure or personal interest'),All respondents with four or more degrees,$YES_NO_CODES
